"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"yk409","m",25.7095890045166,0.819999992847443,"xb4af",51,25.2904109954834,9,"w98hh",59.6958885192871,33.9863014221191,8
"sh49v","m",32.6767120361328,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"u92dp","m",18.758903503418,0,"hsci1",45.2794532775879,26.5205478668213,3,NA,NA,NA,NA
"nde17","m",39.6821899414062,7.82000017166138,"jjux9",61.6958885192871,22.0136985778809,8,"x7fgu",58.6958885192871,19.0136985778809,8
"j5l7w","m",74.7068481445312,5,NA,NA,NA,NA,NA,NA,NA,NA
"otqgl","m",23.6712322235107,0.819999992847443,"o8clz",42.6849327087402,19.0136985778809,8,"apqu8",38.5205497741699,14.8493146896362,7
"g2pfn","f",78.709587097168,3,NA,NA,NA,NA,NA,NA,NA,NA
"nql9h","f",60.6958885192871,4,"l5t1z",64.0438385009766,3.34794521331787,4,"jdspk",81.5534210205078,20.8575344085693,4
"toeng","m",39.6821899414062,1,"hbl75",67.9534225463867,28.2712326049805,5,"yen44",66.5232849121094,26.8410949707031,5
"uaufj","f",19.758903503418,NA,NA,NA,NA,NA,NA,NA,NA,NA
"eqjs9","f",46.687671661377,4,NA,NA,NA,NA,NA,NA,NA,NA
