"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"a3mgh",0,54.0800018310547,4,NA,NA,NA,NA,NA,NA,NA
"hvz3n",1,75.2399978637695,6,NA,NA,NA,NA,NA,NA,NA
"h6412",0,73.8899993896484,4,NA,NA,NA,NA,NA,NA,NA
"ww0wx",0,48.7099990844727,7,NA,NA,NA,NA,NA,NA,NA
"va899",1,46.0499992370605,5,NA,NA,NA,NA,NA,NA,NA
"ruvt2",1,63.3400001525879,5,NA,NA,NA,NA,NA,NA,NA
"thfub",0,29.9200000762939,1,"x2b2i",67.879997253418,NA,"m4w6p",68.1800003051758,NA,6
"xjlg3",1,57.6399993896484,3,NA,NA,NA,NA,NA,NA,NA
"h61xc",0,32.5999984741211,4,NA,NA,NA,NA,NA,NA,NA
"g0mxc",0,50.5999984741211,5,NA,NA,NA,NA,NA,NA,NA
"wvwbl",1,32.9900016784668,3,"gw8ie",66.120002746582,NA,"jjbt7",66.6399993896484,NA,5
"l65sr",1,67.7200012207031,6,NA,NA,NA,NA,NA,NA,NA
"kkovh",0,45.7200012207031,6,NA,NA,NA,NA,NA,NA,NA
"bfwi7",1,78.2399978637695,4,NA,NA,NA,NA,NA,NA,NA
"p1n4y",1,54.1599998474121,4,NA,NA,NA,NA,NA,NA,NA
"u83zf",1,35.2000007629395,1,NA,NA,NA,NA,NA,NA,NA
"tgweb",0,48.9500007629395,4,NA,NA,NA,NA,NA,NA,NA
"s0qn9",1,36.7799987792969,4,NA,NA,NA,NA,NA,NA,NA
"rtvj4",1,58.5400009155273,5,NA,NA,NA,NA,NA,NA,NA
"feyki",1,29.3899993896484,1,"c062m",61.0299987792969,NA,"rtvj4",58.5400009155273,NA,5
"joadb",0,78.1699981689453,3,NA,NA,NA,NA,NA,NA,NA
"g7j6o",0,34.3300018310547,2,"t2r2r",66.0400009155273,NA,"q64v6",59.9799995422363,NA,6
"sshbm",1,39.0299987792969,1,NA,NA,NA,NA,NA,NA,NA
"dckny",0,51.0400009155273,3,"qde6h",75.2900009155273,NA,"wu08t",70.7799987792969,42.4599990844727,2
